id,grade,class_name,subject,avg_score,max_score,count
125,初二,初二4班,语文,116.7,150.0,500
126,初二,初二4班,道德与法治,77.2,100.0,500
127,初二,初二5班,历史,77.7,100.0,500
128,初二,初二5班,地理,77.8,100.0,500
129,初二,初二5班,数学,117.4,150.0,500
130,初二,初二5班,生物,78.7,100.0,500
131,初二,初二5班,英语,93.3,120.0,500
132,初二,初二5班,语文,118.2,150.0,500
133,初二,初二5班,道德与法治,78.7,100.0,500
134,初二,初二6班,历史,76.5,100.0,500
135,初二,初二6班,地理,75.4,100.0,500
136,初二,初二6班,数学,115.0,150.0,500
137,初二,初二6班,生物,76.6,100.0,500
138,初二,初二6班,英语,91.6,120.0,500
139,初二,初二6班,语文,113.9,150.0,500
140,初二,初二6班,道德与法治,77.0,100.0,500
141,初二,初二7班,历史,74.2,100.0,500
142,初二,初二7班,地理,74.9,100.0,500
143,初二,初二7班,数学,113.3,150.0,500
144,初二,初二7班,生物,74.8,100.0,500
145,初二,初二7班,英语,89.2,120.0,500
146,初二,初二7班,语文,112.6,150.0,500
147,初二,初二7班,道德与法治,75.3,100.0,500
